isbn;title;author;type;publication_date
66172-3363;yBwwLzBCxqYHV;Cynthia Walters;Histoire;02/11/1916
60658-7779;yTGnECtVguDIgw;Milton Curtis;Harlequin;12/16/2022
60953-2970;PbpchCCjzvXwFBlnyjIK;Gertrude Bates;Policier;08/14/1965
81317-9109;gPupgOGJ;Gussie Watts;Policier;05/27/1976
72367-7001;OqygWbaJXsKGFIP;Annie Little;Scientifique;03/28/2040
55820-0252;ZOIjtLM;Carl Hansen;Harlequin;12/07/2059
49652-3493;FeJRhu;Lenora Little;Scientifique;04/17/2069
11164-6279;nxKiOrft;Benjamin Barrett;Harlequin;04/10/2016
97178-8483;fqYvuqPTDaWzDyu;Jason Baldwin;Harlequin;05/04/2000
72789-4285;wInnci;Dorothy Stokes;Histoire;02/01/1996
27170-4942;EoZTBqBBaDei;Esther Hardy;Policier;07/03/2055
06322-9626;KsfUOXFLvBx;Francis Richards;Scientifique;08/28/1934
17509-6237;SGxlTPBeSK;Jean May;Policier;05/07/2043
04730-9672;DdfeXhjf;Lulu Hudson;Scientifique;07/03/2007
37317-7891;feXsguPKMQmmOiY;Kevin McGuire;Policier;02/28/2040
14983-7925;GjshEZxOzNJRChTO;Eunice Romero;Scientifique;10/30/1994
43315-5018;QJzWGigTRFeSZO;Marc Moore;Harlequin;07/23/1978
65971-6877;fjrMJQPyZkUGebR;Gertrude Ramos;Scientifique;02/28/1922
60189-4227;cxeFcaPKlkB;Della Grant;Scientifique;10/27/2004
91948-3175;XhdaFltwhFYCjXhI;Effie Bell;Policier;08/20/1941
59324-7680;WIMEyyZeJapZnUHT;Frank Gonzales;Histoire;07/20/2008
04778-2164;ZEvJF;Glen Gonzalez;Scientifique;01/11/2019
74452-0861;nUjMoeZByaLhXDxJnMo;Carlos Black;Policier;01/07/1997
08379-8459;gSNJUkDgbKJMYkgXSvaN;Vernon Rivera;Harlequin;11/25/1936
51052-9887;pMhXBbiLtpOIpPfBxYju;Lida Riley;Histoire;02/20/1936
01457-4832;ayNwmobugO;Evelyn Ball;Histoire;12/17/2039
29494-8814;VflPKjjd;Gene Kelley;Harlequin;07/23/1936
30985-9722;zEwuxwFFccqKwHfqorj;Ian Torres;Histoire;02/09/2030
65711-1625;mtVJfwVwAzhIEtWxY;Garrett Armstrong;Policier;05/09/1907
30948-1016;NZyxL;Sam Dean;Scientifique;04/25/1944
04111-2359;sSIoHbsAwamao;Gordon Walker;Histoire;03/11/1933
18073-4563;xDXArBalXPlRuMzR;Alfred Mathis;Harlequin;03/26/1990
02473-0354;BGyqQmfKlbvDffzJsR;Joshua Pena;Histoire;03/18/2024
70739-0571;JxBInLpraARyzyK;Lora Mendoza;Policier;11/26/2057
02954-3594;ltHKuOcixOKtLEf;Inez Richardson;Harlequin;05/28/1919
79674-6967;crkjEKcjH;Lela Mason;Policier;05/14/2070
07606-6885;IxuuAEQLxz;Marvin Stevenson;Harlequin;04/13/2045
16014-8884;EXcVmlwSSDSFpmkoYaM;Nora Farmer;Scientifique;11/06/1946
53175-4049;eWiiWYKvxCFp;Lida Roy;Policier;06/11/1919
31495-3518;YsomFXU;Billy Page;Scientifique;02/25/1939
10604-6336;MCyHQz;Chris Fowler;Scientifique;12/28/2044
34389-4144;dqGViNpmyHK;Richard Houston;Scientifique;11/05/1938
12645-9815;RILAQOxOKtz;Minnie Harrison;Histoire;04/16/1939
48675-2879;bBEfxrOvLBtT;Hallie Page;Histoire;10/01/1985
34972-7901;QaLRETMYoZQN;Clarence Maldonado;Harlequin;01/31/1925
34447-5675;tXGKHneGaQywJMW;Ricardo Mills;Policier;10/04/2023
14492-4393;DiTEVJtQVoUBfwPHgE;Jared Townsend;Histoire;03/30/1953
48450-2820;nvWMKIt;Alberta Hart;Harlequin;11/17/2034
77822-4448;YSwTRzL;Nora Carroll;Scientifique;04/12/1937
29735-7883;yzzQIKmtAkIXQqDW;Dominic Thornton;Harlequin;08/19/2032
85969-4711;ABJcnBcbthqrEybLYEaL;Isaiah Aguilar;Histoire;07/26/1972
55126-3337;qPVKxYbR;Lydia Mills;Policier;07/15/1929
21368-6585;HjKKuEQM;Isabella Weber;Harlequin;12/06/1967
21333-2008;PcqtnmKUg;Tony Logan;Scientifique;08/19/1928
87243-9186;oKbkVjEnAX;Alma Garcia;Harlequin;07/21/1961
74827-4478;KVMTwhjKQLAidopvEYvk;Hattie Mann;Scientifique;02/03/2003
50575-3146;bcRSHRYjGAE;Alex Sutton;Harlequin;04/06/1998
18655-0747;mrBSuVpx;Dora Rogers;Histoire;12/20/1903
16152-9183;PrKaLraSEjMVxYzTysv;Jackson Perkins;Histoire;01/02/1901
24650-6467;UxrLvJVWKHqENVYqLeW;Ray Cohen;Scientifique;01/25/1998
23019-9218;ByuYqOIBu;Isabel Austin;Policier;05/19/1969
69305-8703;wCzYymmxrbwCbe;Sally Bradley;Harlequin;10/08/1966
81085-3279;PmXqaxLGCdgNfd;Joseph Banks;Policier;10/07/1974
78024-2343;shCSTYvqUqTyjA;May Ryan;Policier;03/08/1960
74922-9936;FMJZPiGqkORZusct;Dennis Rodriguez;Policier;01/18/1917
17243-7067;cLwZYvFvAHsSeFkoufxP;Lela Stephens;Histoire;08/13/1942
28368-4654;pWDhlDzDVX;Carolyn Kelly;Scientifique;03/27/2056
53053-9310;jbqzDjG;Robert Tate;Histoire;10/04/2041
33331-5724;kiTOh;Ivan Crawford;Scientifique;03/13/1959
65707-4663;ZEkpG;Donald Castillo;Policier;02/18/2062
65293-6554;DcYGuaLnJrbzELE;Polly Terry;Histoire;07/07/1916
99256-0753;gXMPuhAfx;Chase Patterson;Harlequin;11/23/1958
84177-5170;cKqxDsCRMX;James Sherman;Scientifique;05/09/1911
59682-4281;pNPBm;Phillip Pierce;Harlequin;03/09/2030
66723-7219;roVZbuWUYwyEynvOue;Rena Alexander;Policier;03/28/1999
